KOL ID,Serial Number,Project_Type,Project_Data_Point,Project_Data Point_Expl,Salutation,Last Name,First Name,Vlookup Name,Full Name,City,Country,Position,Department,Affiliation,E_mail,Contact Info,URL,Organization,Organization_Committee,Organization_Role,Congress,Congress_Year,Congress_Session,Congress_Title_of_Session,Congress_Role,Journal,Journal_Editorial Board,Journal_Role,Guideline_Name,Guideline_Year,Guideline_Role,CT_NCT_Id_Breast Cancer,title,recruiting,conditions,interventions,lead_sponsor,other_sponsor,phase,study_type,Role,start_dt,end_dt,First Author,Last Author,Total Pub Count,Total 2002-2006,Total 2007-2011,Total 2012-2017
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Goldfarb,Shari Beth,Goldfarb S,Shari Beth Goldfarb,(Blank),USA,(Blank),(Blank),Memorial Sloan Kettering Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01788839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Goldfarb,Shari Beth,Goldfarb S,Shari Beth Goldfarb,(Blank),USA,(Blank),(Blank),Memorial Sloan Kettering Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02530177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Goldwater,Dr. Ronald,Goldwater D,Dr. Ronald Goldwater,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02780713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Golshan,Mehra,Golshan M,Mehra Golshan,Boston,USA,(Blank),(Blank),Johns Hopkins University,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02057432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Golshan,Mehra,Golshan M,Mehra Golshan,Boston,USA,(Blank),(Blank),Johns Hopkins University,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02335671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Golshan,Mehra,Golshan M,Mehra Golshan,Boston,USA,(Blank),(Blank),Johns Hopkins University,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02956473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gonçalves,Anthony ,Gonçalves A,Anthony  Gonçalves,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02860585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gonzalez,Victor J,Gonzalez V,Victor J Gonzalez,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02379988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Goodman,Marc ,Goodman M,Marc  Goodman,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02674204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Goodwin,Epp ,Goodwin E,Epp  Goodwin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02642094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Goodwin,Epp ,Goodwin E,Epp  Goodwin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02996240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Goodwin,Epp ,Goodwin E,Epp  Goodwin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03032614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Goodwin,Pamela Jean,Goodwin P,Pamela Jean Goodwin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00463489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Goodwin,Pamela Jean,Goodwin P,Pamela Jean Goodwin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01101438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gorengaut,Sophie ,Gorengaut S,Sophie  Gorengaut,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02981303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gorman,Cathleen ,Gorman C,Cathleen  Gorman,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02820961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gosik,Diana ,Gosik D,Diana  Gosik,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01850628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gosik,Diana ,Gosik D,Diana  Gosik,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02236000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gosik,Diana ,Gosik D,Diana  Gosik,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02296801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Goulet,Robert J.,Goulet R,Robert J. Goulet,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00551278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Govindan,Ramaswamy ,Govindan R,Ramaswamy  Govindan,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02669914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Goyal,Uma ,Goyal U,Uma  Goyal,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02379988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Graetz,Ilana ,Graetz I,Ilana  Graetz,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02957526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gralow,Julie R,Gralow J,Julie R Gralow,Seattle,USA,Director,Breast Medical Oncology,Seattle Cancer Care Alliance,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00874211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Grant,Clive S.,Grant C,Clive S. Grant,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00002762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Grant-Wisdom,Thalia ,Grant-Wisdom T,Thalia  Grant-Wisdom,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01023477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Graves,Kristi D,Graves K,Kristi D Graves,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02222337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gray,Heidi ,Gray H,Heidi  Gray,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01641068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Greenberg,Caprice Christian,Greenberg C,Caprice Christian Greenberg,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02171078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Greene,Mark H,Greene M,Mark H Greene,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00040222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Greene,Mark H,Greene M,Mark H Greene,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00043472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Greenlee,Heather,Greenlee H,Heather Greenlee,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00976131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Greenlee,Heather,Greenlee H,Heather Greenlee,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Greenlee,Heather,Greenlee H,Heather Greenlee,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02780271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Greil,Richard ,Greil R,Richard  Greil,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02993094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gress,Ronald E,Gress R,Ronald E Gress,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01339000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Greten,Tim F,Greten T,Tim F Greten,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00923520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Griffin,Patricia ,Griffin P,Patricia  Griffin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00438659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Grim,Suzanne M,Grim S,Suzanne M Grim,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02507960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Grobmyer,Stephen R,Grobmyer S,Stephen R Grobmyer,Cleveland,USA,(Blank),(Blank),Weill Cornell Medical College,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02419807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Groves,Morris D.,Groves M,Morris D. Groves,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02000882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Grumley,Janie ,Grumley J,Janie  Grumley,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02266602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gucalp,Ayca,Gucalp A,Ayca Gucalp,(Blank),USA,(Blank),(Blank),Memorial Sloan Kettering Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01849250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gucalp,Ayca,Gucalp A,Ayca Gucalp,(Blank),USA,(Blank),(Blank),Memorial Sloan Kettering Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02605486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gucalp,Ayca,Gucalp A,Ayca Gucalp,(Blank),USA,(Blank),(Blank),Memorial Sloan Kettering Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02750358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Guillaume,VOGIN ,Guillaume V,VOGIN  Guillaume,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02898376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Guillaume,VOGIN ,Guillaume V,VOGIN  Guillaume,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03000764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Guimarey,Ilda ,Guimarey I,Ilda  Guimarey,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03009058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gulley,James L,Gulley J,James L Gulley,Bethesda,USA,(Blank),(Blank),National Cancer Institute,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00034216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gulley,James L,Gulley J,James L Gulley,Bethesda,USA,(Blank),(Blank),National Cancer Institute,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00088413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gupta,Subhas C.,Gupta S,Subhas C. Gupta,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02659501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gupta,Sudeep ,Gupta S,Sudeep  Gupta,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03022162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gur,Assaf ,Gur A,Assaf  Gur,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02679378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gurtner,Geoffrey ,Gurtner G,Geoffrey  Gurtner,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01216319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Guthrie,Tracey ,Guthrie T,Tracey  Guthrie,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00353483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Guthrie,Tracey ,Guthrie T,Tracey  Guthrie,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01779050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Guthrie,Tracey ,Guthrie T,Tracey  Guthrie,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01821768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Gutierrez,Lia ,Gutierrez L,Lia  Gutierrez,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02695121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Haas,Jennifer S,Haas J,Jennifer S Haas,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02986360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Haberlin,Ciaran ,Haberlin C,Ciaran  Haberlin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03036436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Haberlin,Ciaran ,Haberlin C,Ciaran  Haberlin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03036436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Habin,Karleen R,Habin K,Karleen R Habin,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02939274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Haddad,Tufia,Haddad T,Tufia Haddad,Rochester,USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00684983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Haddad,Tufia,Haddad T,Tufia Haddad,Rochester,USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02219789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Haddad,Tufia,Haddad T,Tufia Haddad,Rochester,USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hageman,Lindsey ,Hageman L,Lindsey  Hageman,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01196936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,HAGUENOER,ken ,HAGUENOER k,ken  HAGUENOER,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03000920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hahn,Erin E,Hahn E,Erin E Hahn,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02941614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Haigentz,Missak ,Haigentz M,Missak  Haigentz,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01249443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hajek,Richard A.,Hajek R,Richard A. Hajek,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01508273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Haley,Barbara ,Haley B,Barbara  Haley,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01976169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hall,Ronald G,Hall R,Ronald G Hall,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01537029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hallberg,Håkan ,Hallberg H,Håkan  Hallberg,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02985073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hamill,Claire ,Hamill C,Claire  Hamill,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03036943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hamilton,Anne ,Hamilton A,Anne  Hamilton,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00010010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hamilton,Erika P,Hamilton E,Erika P Hamilton,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02248090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hamilton,Erika P,Hamilton E,Erika P Hamilton,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02436772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hamilton,Erika P,Hamilton E,Erika P Hamilton,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02599714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hamilton,Erika P,Hamilton E,Erika P Hamilton,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02950064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hamilton,Erika P,Hamilton E,Erika P Hamilton,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02511795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hamilton,Jada ,Hamilton J,Jada  Hamilton,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02217891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Hamilton,Jada ,Hamilton J,Jada  Hamilton,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02565017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Han,Guohui ,Han G,Guohui  Han,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02947061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Han,Heather ,Han H,Heather  Han,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01795586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLINICAL,TRIAL_Breast Cancer,TRIAL_Breast Cancer,1,Han,Hyo S.,Han H,Hyo S. Han,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02402764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
